URL,Status,Note
http://localhost:8000/assets/data/gallery-data.json?t=1770922703283,200,
http://localhost:8000/assets/data/home_data.json?t=1770922703499,200,
http://localhost:8000/tr/hamam/index.html,200,
http://localhost:8000/assets/css/bento-grid.css?v=2.5,200,
http://localhost:8000/assets/css/modules/cards.css?v=2.5,200,
http://localhost:8000/assets/css/video-hero.css?v=2.5,200,
http://localhost:8000/assets/css/style.css?v=2.5,200,
http://localhost:8000/assets/js/perf-head.js?v=2.5,200,
http://localhost:8000/assets/js/fallback_data.js,200,
http://localhost:8000/assets/js/loader.js,200,
http://localhost:8000/assets/js/santis-nav.js,200,
http://localhost:8000/assets/js/card-manager.js,200,
http://localhost:8000/assets/js/loaders/data-bridge.js?v=5.5,200,
http://localhost:8000/components/navbar.html?v=1770922705273,200,
http://localhost:8000/components/navbar.html?v=1770922705272,200,
http://localhost:8000/components/footer.html?v=1770922705274,200,
http://localhost:8000/components/footer.html?v=1770922705273,200,
http://localhost:8000/assets/data/home_data.json?t=1770922705477,200,
http://localhost:8000/assets/js/language-switcher.js,200,
http://localhost:8000/tr/masajlar/index.html,200,
http://localhost:8000/assets/js/language-switcher.js?v=2.5,200,
http://localhost:8000/assets/js/santis-booking.js,200,
http://localhost:8000/booking.html,200,
http://localhost:8000/assets/js/app.js,200,
http://localhost:8000/components/navbar.html,200,
http://localhost:8000/components/footer.html?v=1770922707029,200,
http://localhost:8000/components/footer.html?v=1770922707030,200,
http://localhost:8000/components/footer.html?v=1770922707031,200,
http://localhost:8000/components/navbar.html?v=1770922707029,200,
http://localhost:8000/assets/data/home_data.json?t=1770922707235,200,
http://localhost:8000/tr/cilt-bakimi/index.html,200,
http://localhost:8000/assets/css/editorial.css?v=2.5,200,
http://localhost:8000/assets/js/video-hero.js,200,
http://localhost:8000/components/footer.html?v=1770922709111,200,
http://localhost:8000/components/footer.html?v=1770922709110,200,
http://localhost:8000/assets/img/luxury-placeholder.webp,200,
http://localhost:8000/assets/data/home_data.json?t=1770922709317,200,
http://localhost:8000/tr/urunler/index.html,200,
http://localhost:8000/assets/css/style.css,200,
http://localhost:8000/assets/css/modules/cards.css,200,
http://localhost:8000/assets/img/hero/santis_hero_main_v2.webp,200,
http://localhost:8000/assets/css/bento-grid.css,200,
http://localhost:8000/assets/js/perf-head.js,200,
http://localhost:8000/assets/data/settings-data.js,200,
http://localhost:8000/components/footer.html?v=1770922710842,200,
http://localhost:8000/components/navbar.html?v=1770922710841,200,
http://localhost:8000/components/footer.html?v=1770922710843,200,
http://localhost:8000/components/navbar.html?v=1770922710842,200,
http://localhost:8000/components/footer.html?v=1770922710841,200,
http://localhost:8000/assets/data/home_data.json?t=1770922711043,200,
http://localhost:8000/tr/magaza/kozmetik.html,200,
http://localhost:8000/assets/js/shop.js,200,
http://localhost:8000/components/footer.html,200,
http://localhost:8000/tr/magaza/index.html,200,
http://localhost:8000/tr/magaza/atelier.html,200,
http://localhost:8000/tr/hediye-karti.html,200,
http://localhost:8000/components/footer.html?v=1770922717493,200,
